OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
4443;-13.671525000000031;0.18960083333333333;3.92e+20;-0.5770000000000001;+0.09/-0.08;904.8;4.12174e-12;2.0910999999999998e-13;1.47323e-13;3.23784e-14;-999.0;1.58915e-12;1.58526e-13;-999.0;7.795160000000001e-12;4.66212e-13;-999.0
4481;16.31028333333333;-0.8765105555555556;4.02e+20;0.8;-999/-999;2971.5;7.71438e-14;2.29424e-14;3.60796e-14;-4.28664e-11;4.77217e-13;9.68841e-14;3.96033e-14;-999.0;1.45274e-13;5.938350000000001e-14;-999.0
4482;16.307437499999992;-1.0398183333333335;4.19e+20;0.8;-999/-999;2365.9;4.1979399999999996e-13;5.62224e-14;2.96359e-13;6.44058e-14;-999.0;5.24891e-13;9.931449999999999e-14;-999.0;1.96448e-13;7.430260000000001e-14;-999.0
4490;40.572354166666656;1.1115130555555557;3.14e+20;0.8;-999/-999;10342.2;1.91273e-14;6.54757e-15;1.2923e-14;7.19452e-15;-999.0;1.8341299999999997e-14;1.0211e-14;-999.0;1.8501900000000002e-14;1.26688e-14;-999.0
4492;40.336083333333335;1.3200655555555556;3.03e+20;0.8;-999/-999;10304.0;1.55306e-14;6.10676e-15;1.0830500000000001e-14;-1.09425e-11;2.6286e-14;2.27547e-14;1.1884399999999999e-14;-999.0;2.5845e-14;1.54316e-14;-999.0
4495;40.51750416666667;1.379021388888889;3.18e+20;0.8;-999/-999;7777.1;4.09711e-14;1.0881e-14;5.914550000000001e-14;1.82648e-14;-999.0;2.0934299999999998e-14;1.2789399999999999e-14;-999.0;6.782260000000001e-14;-4.2009e-11;2.09506e-13
4519;54.177137499999986;0.5164255555555556;6.41e+20;0.8;-999/-999;2459.2;5.4861800000000003e-14;2.15446e-14;2.8340199999999998e-14;2.2259999999999998e-14;-999.0;9.90316e-14;4.6071499999999995e-14;-999.0;2.39619e-14;-7.5809e-11;3.19113e-13
4520;54.220225;0.40681083333333334;6.38e+20;0.8;-999/-999;1290.7;2.70925e-13;4.7665600000000004e-14;5.59171e-13;9.83785e-14;-999.0;4.89061e-13;-1.1465700000000001e-10;1.07697e-12;1.18396e-13;-1.6781400000000002e-10;1.5762700000000001e-12
4521;25.07078333333334;-0.8338252777777778;2.73e+20;1.042;+0.07/-0.06;8445.5;1.0311299999999999e-12;3.6412199999999995e-14;9.93217e-13;5.5232400000000005e-14;-999.0;1.19958e-12;6.93159e-14;-999.0;9.98495e-13;7.424580000000001e-14;-999.0
4522;25.082058333333322;-0.7753458333333334;2.72e+20;0.8;-999/-999;8716.9;1.92797e-14;6.59136e-15;1.13758e-14;6.8045599999999995e-15;-999.0;1.65946e-14;9.92628e-15;-999.0;2.5218400000000003e-14;1.50847e-14;-999.0
4523;25.140291666666656;-0.7650727777777778;2.73e+20;0.8;-999/-999;9183.5;5.1609900000000006e-14;1.0165399999999999e-14;4.06161e-14;1.2321e-14;-999.0;3.7015e-14;1.4128799999999999e-14;-999.0;5.6191599999999994e-14;2.14692e-14;-999.0
4524;25.171995833333312;-0.7595158333333333;2.73e+20;0.8;-999/-999;9260.6;4.23786e-14;9.34116e-15;2.9185200000000006e-14;1.0431299999999999e-14;-999.0;2.43044e-14;1.1498100000000001e-14;-999.0;6.465e-14;2.3107e-14;-999.0
4525;25.23464583333333;-0.8644708333333333;2.73e+20;0.8;-999/-999;9263.9;1.48497e-14;6.04428e-15;1.05213e-14;6.880410000000001e-15;-999.0;7.66537e-15;6.91018e-15;-999.0;2.3306299999999998e-14;1.5241200000000002e-14;-999.0
4526;25.161900000000003;-0.7142191666666666;2.72e+20;0.8;-999/-999;9172.1;6.248060000000001e-14;1.1946799999999999e-14;4.02198e-14;1.2967500000000001e-14;-999.0;6.59743e-14;2.0150299999999998e-14;-999.0;5.57057e-14;2.28103e-14;-999.0
4527;25.20986666666667;-0.7336738888888888;2.73e+20;0.8;-999/-999;9246.4;5.59371e-14;1.14017e-14;4.3339999999999995e-14;1.3354699999999999e-14;-999.0;2.7073400000000005e-14;1.26752e-14;-999.0;8.22671e-14;2.7174599999999998e-14;-999.0
4528;25.036579166666655;-1.0231533333333334;2.74e+20;0.8;-999/-999;7652.4;3.29808e-14;9.6194e-15;2.91837e-14;1.1926600000000001e-14;-999.0;3.19202e-14;1.48928e-14;-999.0;1.61571e-14;1.31994e-14;-999.0
4561;-5.621637500000077;0.29113805555555555;3.56e+20;0.8;-999/-999;4442.5;3.6151e-14;1.2573e-14;0.0;-2.30437e-11;8.7551e-14;7.32949e-14;2.7810500000000002e-14;-999.0;2.76091e-14;2.0952200000000003e-14;-999.0
4562;-5.605025000000069;0.29744055555555554;3.56e+20;0.8;-999/-999;4500.0;4.4344699999999997e-14;1.38445e-14;4.06913e-14;1.7862700000000002e-14;-999.0;8.990889999999999e-14;-3.50541e-11;1.85905e-13;8.46937e-14;3.71789e-14;-999.0
