,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,OBJID_A,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
30,95.0,-37.39779583333342,-0.2315175,3.54e+20,0.8029999999999999,+0.20/-0.16,17956.2,1.07419e-13,1.15489e-14,7.22471e-14,1.28828e-14,-999.0,9.65229e-14,1.7475799999999994e-14,-999.0,1.15346e-13,2.33387e-14,-999.0,5.0,5274963.0,-37.398054877502375,-0.2303962124305353,24.003963470458984,1.0,0.004361487297885837,,,
31,96.0,-37.405333333333374,-0.4312275,3.54e+20,0.72,+0.12/-0.10,10993.3,2.91946e-13,1.95533e-14,1.64495e-13,1.9257599999999998e-14,-999.0,2.54213e-13,2.7554400000000003e-14,-999.0,3.23833e-13,3.95937e-14,-999.0,5.0,5253429.0,-37.405413586769036,-0.4311020031716197,18.8012638092041,0.6984212673905548,0.031545195173369324,5252985;5253041;5253213,0.003803147943580014;0.0047039066553028405;0.005114180069193875,0.08420297900300575;0.10414608087944105;0.11322967272699849
32,97.0,-37.48303750000002,-0.3515644444444444,3.54e+20,0.8,-999/-999,18753.3,5.19119e-14,8.75316e-15,2.71988e-14,8.63841e-15,-999.0,8.14762e-14,1.73585e-14,-999.0,1.88912e-14,1.0292499999999999e-14,-999.0,5.0,5264189.0,-37.48341791892835,-0.3522223482228439,16.984460830688473,0.6822778193917121,0.061172965086948625,5262461,0.028486940816906874,0.3177221806082879
33,99.0,-37.490004166666715,-0.3498183333333333,3.54e+20,0.8,-999/-999,18007.3,2.0315799999999998e-14,6.21192e-15,2.23362e-14,8.88685e-15,-999.0,1.02991e-14,6.91617e-15,-999.0,1.55197e-14,1.0422e-14,-999.0,5.0,5262787.0,-37.4901431954711,-0.3504444519227429,21.134992599487305,0.4949880900458787,0.013517912694039867,5262816;5262756,0.010842417039868407;0.00294924188181876,0.397018935061745;0.10799297489237622
34,102.0,-34.31677916666672,0.6143169444444444,4.37e+20,0.8,-999/-999,3021.1,7.882560000000003e-14,2.46466e-14,2.99494e-14,2.03452e-14,-999.0,7.863060000000002e-14,4.00926e-14,-999.0,1.1748e-13,5.99015e-14,-999.0,5.0,3875086.0,-34.31617314043723,0.6147198290511868,17.41916275024414,1.0,0.05340219927534519,,,
35,103.0,-34.39530833333339,0.2777469444444444,4.35e+20,0.8,-999/-999,2913.8,5.4927800000000004e-14,2.17335e-14,6.25009e-14,3.226740000000001e-14,-999.0,2.7407999999999997e-14,2.3573099999999998e-14,-999.0,4.09581e-14,3.5227300000000005e-14,-999.0,5.0,3839092.0,-34.39460579049893,0.27871089222471995,19.865358352661133,0.9017217368138822,0.018983487275023088,3838815,0.0020690020905973945,0.09827826318611774
36,112.0,-31.375012500000025,0.6371858333333333,5.34e+20,0.8,-999/-999,4613.0,6.91511e-14,1.6421900000000006e-14,1.7087400000000004e-14,1.1487999999999999e-14,-999.0,1.0587000000000001e-13,3.09455e-14,-999.0,6.26443e-14,2.97534e-14,-999.0,5.0,3440333.0,-31.37514281709389,0.6377808264396141,22.19667053222656,0.41499710623126096,0.007900559586891733,3440173;3440230,0.004716730795851027;0.006420335345878762,0.24775835301561822;0.3372445407531208
37,113.0,-31.386020833333422,0.6442858333333333,5.35e+20,0.8,-999/-999,4635.8,5.991119999999998e-14,1.64263e-14,2.37042e-14,1.44027e-14,-999.0,8.80702e-14,3.11062e-14,-999.0,4.34136e-14,2.63782e-14,-999.0,5.0,3441764.0,-31.38647897938097,0.6429047813553248,16.474983215332028,1.0,0.03032711652915825,,,
38,114.0,-31.349975000000033,0.6846655555555555,5.31e+20,0.665,+0.27/-0.20,4852.1,2.0811799999999998e-13,2.9637e-14,1.1009200000000001e-13,2.76212e-14,-999.0,1.68654e-13,3.83489e-14,-999.0,2.35997e-13,5.81311e-14,-999.0,5.0,3444866.0,-31.34983682566144,0.6854174417833069,18.411418914794922,0.379248538527169,0.03764689156686206,3444552;3444689;3444690;3444931,0.006788707356430516;0.005190850435718195;0.014480050224832671;0.03516057132713667,0.06838831139198653;0.05229176592077752;0.14586962314842522;0.3542017610116417
39,115.0,-31.383041666666713,0.6331697222222222,5.35e+20,0.8,-999/-999,4659.2,3.5122399999999997e-14,1.2693e-14,2.12319e-14,-2.50807e-11,7.64443e-14,7.1685e-14,2.8260700000000007e-14,-999.0,2.1206400000000006e-14,1.92318e-14,-999.0,5.0,3439711.0,-31.38409694831438,0.6322597448706964,20.913015365600586,0.49632761737236597,0.013310547687940861,3439744;3439624,0.00731191225105185;0.006195607849394583,0.27264873475403917;0.23102364787359486
