,ID,RA,DEC,countrates_0.3-10keV(ph.s-1),countrates_error_0.3-10keV(ph.s-1),exposure_time(s),countrates_0.3-1keV(ph.s-1),countrates_error_0.3-1keV(ph.s-1),upper_limit_0.3-1keV(ph.s-1),countrates_1-2keV(ph.s-1),countrates_error_1-2keV(ph.s-1),upper_limit_1-2keV(ph.s-1),countrates_2-10keV(ph.s-1),countrates_error_2-10keV(ph.s-1),upper_limit_2-10keV(ph.s-1)
986,1248,322.7008291666666,0.6679744444444444,0.005483,0.0008900000000000001,6442.4,0.0018280000000000002,0.0005172000000000001,-999.0,0.001371,-0.8891,2.204,0.003655,0.0007336,-999.0
987,1249,322.91488333333325,0.9171486111111111,0.0013460000000000002,0.00047000000000000004,11673.1,0.0001923,0.00018030000000000002,-999.0,0.0009617000000000001,0.0003992,-999.0,0.0001923,0.00018030000000000002,-999.0
988,1280,47.31434166666666,0.41896583333333337,0.005558,0.0013,3890.3,0.0,-1.2990000000000002,0.5084,0.001282,0.0006226,-999.0,0.004275999999999999,0.001163,-999.0
989,1281,47.298649999999995,0.3999844444444445,0.02624,0.0028,3708.0,0.009231999999999999,0.001695,-999.0,0.011179999999999999,0.001842,-999.0,0.005831,0.001326,-999.0
990,1282,47.4137625,0.4557988888888889,0.00179,0.00081,4004.2,0.0004475,0.00041660000000000004,-999.0,0.001342,0.0006942999999999999,-999.0,0.00039769999999999996,-0.8092,1.65
991,1283,47.31728333333333,0.31081333333333333,0.002113,0.0008900000000000001,3980.1,0.001056,0.0006357,-999.0,0.001056,0.0006357,-999.0,0.00046939999999999997,-0.8891,1.652
992,1284,47.28639583333333,0.5857772222222223,0.03746,0.0043,1101.1,0.01248,0.0025239999999999998,-999.0,0.01248,0.0025239999999999998,-999.0,0.01248,0.0025239999999999998,-999.0
993,1285,0.7379124999999999,-0.41352333333333335,0.004699,0.0008699999999999999,8050.2,0.0006408,0.0003173,-999.0,0.0027760000000000003,0.0006653,-999.0,0.001282,0.0004452,-999.0
994,1286,0.6507,-0.45642222222222223,0.01038,0.0013,8312.9,0.001425,0.0004784,-999.0,0.004479,0.0008320000000000001,-999.0,0.004479,0.0008320000000000001,-999.0
995,1287,0.7483291666666665,-0.2710841666666667,0.002659,0.0006900000000000001,7765.7,0.0004431,0.000285,-999.0,0.0008863999999999999,0.0003975,-999.0,0.0013289999999999999,0.0004875,-999.0
996,1288,0.5477541666666665,-0.3084625,0.002198,0.00064,7316.2,0.0007324,0.0003685,-999.0,0.0003663,0.00025860000000000005,-999.0,0.001098,0.00045250000000000005,-999.0
997,1289,0.5371249999999999,-0.29512055555555555,0.003165,0.00078,5854.9,0.0026379999999999997,0.00072,-999.0,0.0005275000000000001,0.000312,-999.0,0.001582,-0.7792,1.101
998,1290,0.8027333333333333,-0.25051194444444447,0.004768,0.00095,7365.6,0.002934,0.0007125,-999.0,0.001467,0.0005225,-999.0,0.0003668,0.0002613,-999.0
999,1291,0.8311958333333332,-0.2873211111111111,0.001429,0.00056,8113.4,0.001143,0.0005021,-999.0,0.0002858,0.000251,-999.0,0.0001099,-0.5594,1.3219999999999998
1000,1292,0.479925,-0.35882194444444443,0.03636,0.0028,1980.4,0.029089999999999998,-2.7969999999999997,1.649,0.02727,0.0024,-999.0,0.009087999999999999,0.00144,-999.0
1001,1293,0.6832624999999999,-0.5537538888888889,0.001628,0.00062,7694.0,0.000407,0.00031,-999.0,0.001221,-0.6194,1.652,0.001222,0.0005314,-999.0
1002,1294,354.00545,0.15812083333333332,0.001975,0.00059,7976.9,0.0,-0.5894,0.827,0.001727,0.0005507000000000001,-999.0,0.0002468,0.00020449999999999998,-999.0
1003,1295,354.0444833333333,0.15111611111111112,0.002222,0.00063,7765.4,0.0006349,0.0003325,-999.0,0.0009522,0.0004112,-999.0,0.0006349,0.0003325,-999.0
1004,1296,354.0058916666666,0.17811611111111111,0.001704,0.00055,8217.6,0.00048689999999999996,-0.5494,1.101,0.001704,0.00055,-999.0,0.00048689999999999996,-0.5494,1.101
1005,1297,353.9942791666666,0.034341944444444446,0.001219,0.00049,8067.9,0.00040629999999999996,0.00028399999999999996,-999.0,0.0006098,0.0003508,-999.0,0.0002031,0.0002005,-999.0
1006,1298,353.9383499999999,0.056550833333333335,0.0014960000000000002,0.00053,8247.3,0.001196,0.0004756,-999.0,0.0007482,-0.5295,1.3219999999999998,0.0002991,0.0002378,-999.0
1007,1299,354.11199166666665,0.16789138888888888,0.00117,0.00049,8331.5,0.0009362999999999999,-0.4895,1.1,0.00019509999999999997,0.0001994,-999.0,0.0009756,0.00045010000000000004,-999.0
1008,1300,354.10031250000003,0.04558972222222222,0.008758,0.0012,8088.3,0.002627,0.0006947,-999.0,0.00321,0.0007578999999999999,-999.0,0.002919,0.0006947,-999.0
1009,1301,354.0776583333333,0.2485263888888889,0.001189,0.0005,7994.1,0.0005945,0.00035,-999.0,0.0001981,0.0002056,-999.0,0.0003962,0.0002889,-999.0
1010,1302,354.14566666666667,0.07921166666666667,0.001324,0.0005200000000000001,8180.6,0.000662,0.0003633,-999.0,0.0002207,-0.5195,1.652,0.000662,0.0003633,-999.0
1011,1303,353.89183749999995,0.23653194444444445,0.00207,0.00065,8212.7,0.0008282999999999999,0.0004122,-999.0,0.0008282999999999999,0.0004122,-999.0,0.00041419999999999993,0.00029330000000000003,-999.0
1012,1304,354.08185,-0.015837777777777777,0.0024920000000000003,0.0007099999999999999,7523.8,0.001108,0.0004793,-999.0,0.001385,0.0005325,-999.0,0.0004986000000000001,-0.7093,0.733
1013,1305,353.84454583333326,0.16658166666666666,0.001633,0.00059,8316.6,0.0005447,0.0003411,-999.0,0.0005447,0.0003411,-999.0,0.0005447,0.0003411,-999.0
1014,1306,354.0276958333333,-0.05997166666666667,0.002362,0.0007,8325.6,0.00039380000000000003,0.000283,-999.0,0.001181,0.0004915,-999.0,0.0007877000000000001,0.0004021,-999.0
1015,1307,15.609420833333331,-0.6500391666666667,0.0519,0.0093,607.2,0.03993,0.007863,-999.0,0.01198,0.004312,-999.0,0.0,-9.291,0.5087
1016,1310,310.92555833333324,0.020900555555555554,0.007298999999999999,0.0017,3148.8,0.004866,0.0013599999999999999,-999.0,0.002433,0.0009519999999999999,-999.0,0.0,-1.6980000000000002,0.5505
1017,1311,310.9633749999999,0.127535,0.005779,0.0016,3279.8,0.003853,-1.598,1.3230000000000002,0.002311,0.0009599999999999999,-999.0,0.003468,0.0012,-999.0
1018,1312,16.50005833333333,-0.5355366666666667,0.001165,0.00041,10171.4,0.0009318,0.0003654,-999.0,0.000233,0.0001872,-999.0,0.0,-0.4096,1.324
1019,1320,29.21788333333333,-0.20639555555555555,0.0115,0.0018,4068.0,0.007076000000000001,0.001385,-999.0,0.00398,0.001038,-999.0,0.00044219999999999996,0.00034619999999999996,-999.0
1020,1321,29.19264583333333,-0.26669472222222224,0.0061979999999999995,0.0013,4590.6,0.0038369999999999997,0.0009904999999999998,-999.0,0.0014759999999999999,0.0006190000000000001,-999.0,0.0008853,0.000489,-999.0
1021,1322,29.1956875,-0.3540633333333333,0.02342,0.0025,4539.9,0.01636,0.002121,-999.0,0.0063219999999999995,0.001288,-999.0,0.0007437,0.0004545,-999.0
1022,1323,341.1018291666667,-0.16077305555555554,0.001986,0.00029,32393.8,0.0009564,0.0001962,-999.0,0.0007357,0.0001791,-999.0,0.0002943,0.0001109,-999.0
