RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;nufnu_5keV(erg.s-1.cm-2);nufnu_error_5keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
02:33:14.764;+00:34:03.069;2.07E+20;0.8;-999/-999;1.69267e-14;6.09301e-15;2.10498e-14;8.55567e-15;-9.990E+02;1.20235e-14;-1.44085e-11;4.64336e-11;1.22654e-14;9.75738e-15;-9.990E+02
02:33:25.355;+00:29:17.613;2.08E+20;0.713;+0.33/-0.23;7.15269e-14;1.2531e-14;4.05325e-14;1.0508e-14;-9.990E+02;4.42558e-14;1.37303e-14;-9.990E+02;6.87674e-14;2.1335e-14;-9.990E+02
02:33:18.535;+00:21:25.705;2.10E+20;0.8;-999/-999;2.24345e-14;6.84342e-15;2.49239e-14;8.98141e-15;-9.990E+02;1.51704e-14;8.60044e-15;-9.990E+02;2.36866e-14;-2.47307e-11;5.09362e-11
02:33:18.902;+00:19:58.289;2.10E+20;0.8;-999/-999;1.50853e-14;5.9508e-15;7.81968e-15;5.39903e-15;-9.990E+02;1.78343e-14;9.8532e-15;-9.990E+02;9.09037e-15;8.97196e-15;-9.990E+02
02:33:02.348;+00:16:37.371;2.08E+20;-0.151;+0.40/-0.26;1.46953e-13;2.86757e-14;4.0706e-15;3.30437e-15;-9.990E+02;4.96706e-14;1.65419e-14;-9.990E+02;1.29422e-13;3.50201e-14;-9.990E+02
02:33:28.312;+00:22:56.655;2.11E+20;0.8;-999/-999;3.10459e-14;8.18565e-15;2.01284e-14;8.25191e-15;-9.990E+02;1.83572e-14;9.67835e-15;-9.990E+02;3.74278e-14;1.71585e-14;-9.990E+02
02:32:04.415;+00:33:04.250;2.05E+20;1.463;+0.08/-0.07;6.46182e-13;2.33816e-14;1.93765e-12;8.92889e-14;-9.990E+02;1.00377e-12;7.25934e-14;-9.990E+02;6.66015e-13;6.77838e-14;-9.990E+02
02:33:08.774;+00:15:47.074;2.10E+20;0.8;-999/-999;9.04373e-14;1.41332e-14;9.74047e-14;1.72732e-14;-9.990E+02;6.58053e-14;1.83868e-14;-9.990E+02;4.0904e-14;-5.10761e-11;2.73411e-11
02:33:33.859;+00:32:01.778;2.08E+20;0.701;+0.49/-0.30;2.78697e-14;8.99569e-15;2.57712e-14;-1.20016e-11;2.49326e-11;2.91299e-14;1.33147e-14;-9.990E+02;4.53571e-14;2.07318e-14;-9.990E+02
02:33:34.708;+00:32:56.584;2.08E+20;0.8;-999/-999;3.08936e-14;8.9202e-15;4.80122e-14;1.3863e-14;-9.990E+02;3.65531e-14;-2.10875e-11;2.32019e-11;5.59179e-14;-3.22591e-11;3.54936e-11
02:33:36.190;+00:33:07.584;2.08E+20;0.8;-999/-999;3.1964e-14;9.36621e-15;4.25825e-14;1.34841e-14;-9.990E+02;3.78196e-14;-2.21429e-11;3.3239e-11;1.65278e-14;1.28466e-14;-9.990E+02
02:33:25.187;+00:15:49.332;2.13E+20;-0.175;+0.22/-0.17;5.4249e-13;6.78112e-14;3.35676e-14;1.11072e-14;-9.990E+02;1.37214e-13;3.13225e-14;-9.990E+02;4.77407e-13;7.7218e-14;-9.990E+02
02:32:54.726;+00:26:20.176;2.06E+20;0.8;-999/-999;1.84066e-14;5.79384e-15;1.27082e-14;6.11763e-15;-9.990E+02;1.453e-14;7.95613e-15;-9.990E+02;1.48215e-14;1.00747e-14;-9.990E+02
02:33:01.221;+00:25:18.531;2.07E+20;1.749;+0.43/-0.26;1.94682e-14;2.62047e-15;9.14215e-14;1.6375e-14;-9.990E+02;6.67519e-14;1.52836e-14;-9.990E+02;2.05697e-14;9.424e-15;-9.990E+02
02:32:29.139;+00:25:48.291;2.05E+20;0.8;-999/-999;1.81764e-14;5.643e-15;1.12784e-14;5.49512e-15;-9.990E+02;2.15129e-14;9.43233e-15;-9.990E+02;6.5872e-15;6.41499e-15;-9.990E+02
02:32:41.760;+00:22:28.243;2.06E+20;0.8;-999/-999;1.30406e-14;5.05104e-15;5.06112e-15;3.84082e-15;-9.990E+02;1.1579e-14;7.32302e-15;-9.990E+02;1.77169e-14;1.12049e-14;-9.990E+02
02:32:47.440;+00:21:56.214;2.06E+20;0.8;-999/-999;1.54057e-14;5.34816e-15;5.97692e-15;-8.29525e-12;3.04728e-11;1.45898e-14;7.85061e-15;-9.990E+02;3.34856e-14;1.51121e-14;-9.990E+02
02:32:37.607;+00:32:08.104;2.05E+20;0.8;-999/-999;1.33442e-14;5.049e-15;5.17703e-15;-7.83009e-12;3.04029e-11;1.89666e-14;9.08767e-15;-9.990E+02;1.93472e-14;1.13446e-14;-9.990E+02
02:32:44.463;+00:33:48.929;2.06E+20;0.8;-999/-999;1.60593e-14;5.49672e-15;1.24683e-14;6.00229e-15;-9.990E+02;1.90145e-14;9.15201e-15;-9.990E+02;2.32763e-14;-1.98911e-11;4.45021e-11
02:32:14.786;+00:28:59.362;2.05E+20;-0.094;+0.41/-0.27;1.24145e-13;2.49877e-14;1.06319e-14;5.17865e-15;-9.990E+02;3.18789e-14;1.27037e-14;-9.990E+02;1.10224e-13;3.13239e-14;-9.990E+02
02:33:24.403;+00:25:56.597;2.09E+20;0.8;-999/-999;1.58387e-14;5.80008e-15;4.10433e-15;3.63725e-15;-9.990E+02;1.87395e-14;9.51754e-15;-9.990E+02;1.91115e-14;1.21902e-14;-9.990E+02
02:33:25.375;+00:29:17.116;2.08E+20;0.941;+0.37/-0.24;5.9475e-14;9.752e-15;4.89189e-14;1.27985e-14;-9.990E+02;5.86995e-14;1.69148e-14;-9.990E+02;5.82795e-14;2.07032e-14;-9.990E+02
02:33:18.557;+00:21:25.565;2.10E+20;0.8;-999/-999;2.85341e-14;7.4385e-15;3.45279e-14;1.02843e-14;-9.990E+02;1.4998e-14;8.30836e-15;-9.990E+02;2.38266e-14;-2.68836e-11;3.94562e-11
02:32:45.846;+00:16:46.060;2.06E+20;0.8;-999/-999;2.77807e-14;7.72512e-15;1.72526e-14;7.72547e-15;-9.990E+02;2.63059e-14;1.17794e-14;-9.990E+02;2.01226e-14;1.28087e-14;-9.990E+02
02:33:18.947;+00:19:55.146;2.10E+20;0.8;-999/-999;1.42254e-14;5.65326e-15;1.10642e-14;6.19974e-15;-9.990E+02;1.68243e-14;9.4274e-15;-9.990E+02;1.02906e-14;-2.04305e-11;5.93646e-11
02:33:02.358;+00:16:36.694;2.08E+20;0.390;+0.30/-0.22;7.03496e-14;1.58534e-14;3.00983e-14;-1.35527e-11;1.16917e-11;4.29405e-14;1.50891e-14;-9.990E+02;9.83529e-14;2.89776e-14;-9.990E+02
02:33:28.369;+00:22:56.150;2.11E+20;0.8;-999/-999;3.12245e-14;8.18565e-15;1.32475e-14;6.66545e-15;-9.990E+02;2.0131e-14;1.01288e-14;-9.990E+02;5.12977e-14;1.99626e-14;-9.990E+02
02:32:04.576;+00:33:05.782;2.05E+20;1.073;+0.06/-0.06;1.25788e-12;4.40308e-14;1.51871e-12;7.61891e-14;-9.990E+02;1.29451e-12;8.30738e-14;-9.990E+02;1.25139e-12;9.85585e-14;-9.990E+02
02:33:08.861;+00:15:45.930;2.10E+20;0.8;-999/-999;8.56618e-14;1.42819e-14;1.11058e-13;2.06288e-14;-9.990E+02;3.37754e-14;1.37558e-14;-9.990E+02;6.20018e-14;-5.16143e-11;5.93107e-11
02:33:33.952;+00:32:02.367;2.08E+20;0.8;-999/-999;2.71025e-14;8.02818e-15;6.01654e-15;4.67876e-15;-9.990E+02;2.74834e-14;1.25842e-14;-9.990E+02;4.20434e-14;1.92511e-14;-9.990E+02
02:31:33.760;-01:35:42.878;2.55E+20;0.898;+0.04/-0.05;7.18088e-13;1.8487e-14;4.93811e-13;2.14359e-14;-9.990E+02;7.27663e-13;3.11099e-14;-9.990E+02;7.03651e-13;3.71907e-14;-9.990E+02
02:31:26.717;-01:29:57.298;2.56E+20;0.8;-999/-999;8.62824e-15;2.72232e-15;1.3692e-15;1.37832e-15;-9.990E+02;1.00912e-14;4.55025e-15;-9.990E+02;1.22909e-14;6e-15;-9.990E+02
02:31:08.155;-01:29:12.326;2.55E+20;-0.063;+0.40/-0.27;5.03144e-14;1.01252e-14;1.93738e-15;1.43132e-15;-9.990E+02;1.8639e-14;6.14428e-15;-9.990E+02;4.47808e-14;1.23644e-14;-9.990E+02
02:31:13.530;-01:27:48.993;2.55E+20;1.533;+0.37/-0.24;1.31095e-14;1.746e-15;3.6358e-14;6.91393e-15;-9.990E+02;3.40765e-14;7.34589e-15;-9.990E+02;1.35935e-14;5.3733e-15;-9.990E+02
02:31:18.343;-01:40:17.630;2.54E+20;1.207;+0.16/-0.14;5.65082e-14;4.40886e-15;9.33672e-14;1.00106e-14;-9.990E+02;6.71612e-14;9.87986e-15;-9.990E+02;5.69956e-14;1.06825e-14;-9.990E+02
02:30:54.376;-01:31:07.484;2.54E+20;0.8;-999/-999;1.66405e-14;3.62736e-15;1.24147e-14;3.93456e-15;-9.990E+02;1.37467e-14;4.91359e-15;-9.990E+02;1.04648e-14;5.44514e-15;-9.990E+02
02:30:56.005;-01:29:58.131;2.54E+20;0.8;-999/-999;6.61086e-15;2.41824e-15;4.49048e-15;2.55675e-15;-9.990E+02;6.62928e-15;3.77451e-15;-9.990E+02;3.36511e-15;3.30317e-15;-9.990E+02
02:31:22.302;-01:26:08.247;2.56E+20;0.8;-999/-999;1.07259e-14;3.0248e-15;1.41816e-15;1.38e-15;-9.990E+02;1.67255e-14;5.74974e-15;-9.990E+02;9.54938e-15;5.386e-15;-9.990E+02
02:31:10.681;-01:40:38.092;2.53E+20;0.8;-999/-999;1.27602e-14;3.32376e-15;3.79273e-15;2.27803e-15;-9.990E+02;9.33768e-15;4.41771e-15;-9.990E+02;2.27496e-14;8.32645e-15;-9.990E+02
02:31:01.733;-01:39:30.217;2.53E+20;0.403;+0.40/-0.27;3.20931e-14;6.41862e-15;6.34904e-15;2.71317e-15;-9.990E+02;1.84379e-14;5.92361e-15;-9.990E+02;2.99595e-14;9.6252e-15;-9.990E+02
02:30:52.837;-01:37:30.283;2.53E+20;0.8;-999/-999;1.0908e-14;3.0216e-15;1.00852e-14;3.74245e-15;-9.990E+02;8.51356e-15;4.19842e-15;-9.990E+02;3.24064e-15;3.13023e-15;-9.990E+02
02:31:29.407;-01:25:39.717;2.56E+20;0.8;-999/-999;9.04113e-15;2.87356e-15;2.8704e-15;2.13744e-15;-9.990E+02;8.46361e-15;4.41226e-15;-9.990E+02;1.28833e-14;6.71634e-15;-9.990E+02
