OBJID;RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
4283;23.623354166666672;-0.7311641666666667;0.0007642;0.00031;14336.6;0.00025469999999999996;0.0001763;-999.0;0.00038199999999999996;0.0002188;-999.0;0.0001273;0.0001276;-999.0
4284;23.73702499999999;-0.4607686111111111;0.001523;0.00043;14486.7;0.0006922;0.00029289999999999996;-999.0;0.0005537000000000001;0.0002617;-999.0;0.0002768;0.00018700000000000002;-999.0
4285;23.76116250000001;-0.4353586111111111;0.001376;0.00042;13339.5;0.000688;0.000299;-999.0;0.0002294;0.00017080000000000003;-999.0;0.0004587;0.000242;-999.0
4286;23.704266666666655;-0.41839583333333336;0.005794;0.0008300000000000001;12904.9;0.0016899999999999999;0.00046339999999999993;-999.0;0.002897;0.0006087000000000001;-999.0;0.001207;0.0003943;-999.0
4287;23.650441666666666;-0.4111047222222222;0.007901;0.0011;7439.5;0.0018239999999999999;0.0005371;-999.0;0.004862;0.0009059;-999.0;0.001216;0.00044;-999.0
4288;-56.41900833333341;-0.7941327777777778;0.00406;0.0011;4896.5;0.0009019999999999999;0.0005162000000000001;-999.0;0.0009019999999999999;0.0005162000000000001;-999.0;0.002255;0.0008208;-999.0
4289;-56.38122500000003;-0.78975;0.02634;0.0025;4516.0;0.01121;0.0016179999999999999;-999.0;0.009389;0.001471;-999.0;0.005753;0.001176;-999.0
4290;-56.497395833333314;-0.7072102777777778;0.0016699999999999998;0.00072;4956.9;0.0007104;-0.7193;0.002209;0.0010019999999999999;0.0005537999999999999;-999.0;0.0006678;0.0004542;-999.0
4291;-56.32925;-0.8291791666666667;0.0038840000000000003;0.0011;4658.3;0.0019420000000000001;0.0007765;-999.0;0.0019420000000000001;0.0007765;-999.0;0.001553;-1.099;0.003208
4292;-56.44078333333334;-0.6501180555555556;0.001841;0.0007599999999999999;4712.8;0.001227;0.0006218;-999.0;0.0009203;-0.7592;0.004057;0.0006135;0.00044219999999999996;-999.0
4293;-56.50235416666675;-0.8665027777777777;0.004542;0.0012;4954.7;0.004038;0.0011330000000000001;-999.0;0.0005046;0.0004067;-999.0;0.0015140000000000002;-1.199;0.0033380000000000003
4294;-56.21536666666674;-0.7982522222222223;0.004917;0.0013;3709.8;0.0008195;0.0005262;-999.0;0.003278;0.001052;-999.0;0.0008195;0.0005262;-999.0
4295;58.49658333333332;0.38482944444444445;0.004365;0.0009599999999999999;5771.8;0.002183;0.0006807;-999.0;0.0;-0.959;0.01441;0.002183;0.0006807;-999.0
4296;58.62641249999999;0.4786841666666667;0.002227;0.00078;5671.5;0.001114;0.0005602000000000001;-999.0;0.001114;0.0005602000000000001;-999.0;0.001113;-0.7792;0.003677
4343;-21.61498750000004;0.4039811111111111;0.002034;0.0006799999999999999;6653.8;0.0014529999999999999;0.0005667000000000001;-999.0;0.0;-0.6793;0.0019210000000000002;0.0005811;0.000357;-999.0
