,OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),OBJID,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,CLASS_STAR,FLUX_RADIUS,FLAGS
37,113,-31.386020833333422,0.6442858333333333,5.35e+20,0.8,-999/-999,4635.8,5.991119999999998e-14,1.64263e-14,2.37042e-14,1.44027e-14,-999.0,8.80702e-14,3.11062e-14,-999.0,4.34136e-14,2.63782e-14,-999.0,3441764,-31.386478979380968,0.6429047813553248,16.47498321533203,0.0014568791957572103,0.02862607128918171,22.32328224182129,3
38,114,-31.349975000000033,0.6846655555555555,5.31e+20,0.665,+0.27/-0.20,4852.1,2.0811799999999998e-13,2.9637e-14,1.1009200000000001e-13,2.76212e-14,-999.0,1.68654e-13,3.83489e-14,-999.0,2.35997e-13,5.81311e-14,-999.0,3444552,-31.34935685076408,0.6844807444826215,23.095680236816406,0.10518115758895874,0.8621765971183777,5.0237884521484375,1
39,115,-31.383041666666713,0.6331697222222222,5.35e+20,0.8,-999/-999,4659.2,3.5122399999999997e-14,1.2693e-14,2.12319e-14,-2.50807e-11,7.64443e-14,7.1685e-14,2.8260700000000007e-14,-999.0,2.1206400000000006e-14,1.92318e-14,-999.0,3439744,-31.382265701968777,0.6330542076821802,22.524168014526367,0.04955992102622986,0.01055630762130022,3.014502763748169,0
40,116,-31.377395833333374,0.6203811111111112,5.34e+20,0.8,-999/-999,4588.7,7.00021e-14,1.6421900000000006e-14,2.3067500000000002e-14,1.27159e-14,-999.0,8.57567e-14,2.74897e-14,-999.0,8.455360000000001e-14,3.32264e-14,-999.0,3438344,-31.377396073990326,0.6196430943038724,23.49744415283203,0.12287942320108414,0.0014024398988112807,4.243382930755615,2
41,117,-31.394162500000053,0.7202902777777778,5.36e+20,0.8,-999/-999,4272.8,1.0352000000000001e-13,2.09132e-14,1.8622200000000002e-14,1.24148e-14,-999.0,1.38232e-13,3.75666e-14,-999.0,1.36275e-13,4.59463e-14,-999.0,3448473,-31.393219928007966,0.7210120052285931,18.75733757019043,0.0028941582422703505,0.03699653595685959,3.9576892852783203,2
42,121,-4.068425000000103,0.3271725,3.35e+20,0.8,-999/-999,7301.5,2.14799e-14,7.8568e-15,5.5813699999999994e-15,5.45127e-15,-999.0,7.814879999999997e-15,7.63272e-15,-999.0,5.89961e-14,2.5431999999999998e-14,-999.0,6248619,-4.069393158281969,0.3270886379271007,23.005878448486328,0.05103734880685806,0.017307700589299202,2.5344159603118896,0
43,123,-4.085916666666776,0.3218402777777777,3.35e+20,0.8,-999/-999,7026.6,2.9e-14,9.1195e-15,1.05505e-14,7.42312e-15,-999.0,2.95415e-14,1.45547e-14,-999.0,4.4603e-14,2.19753e-14,-999.0,6247849,-4.085033716884368,0.3216624938665718,24.074670791625977,0.1263171285390854,0.02449900284409523,2.4374310970306396,0
44,125,-4.063145833333408,0.27689250000000004,3.35e+20,0.8,-999/-999,7558.1,2.47068e-14,8.418e-15,6.41806e-15,5.86962e-15,-999.0,2.6959199999999998e-14,1.40904e-14,-999.0,4.07041e-14,2.12742e-14,-999.0,6241802,-4.062218804414783,0.27745388544879995,23.926103591918945,0.10151811689138412,0.0041662342846393585,2.225844621658325,0
45,126,-4.102458333333401,0.3301502777777778,3.35e+20,0.8,-999/-999,7523.0,2.04277e-14,7.7165e-15,3.09424e-14,1.2810599999999999e-14,-999.0,2.2287400000000006e-14,-1.96229e-11,5.718290000000002e-14,1.30881e-14,1.2036499999999999e-14,-999.0,6250757,-4.101413664715096,0.3309656517271547,17.434236526489258,0.001607423648238182,0.028742995113134384,9.255107879638672,2
46,127,-4.1063875000000385,0.321965,3.35e+20,0.8,-999/-999,7411.2,2.11572e-14,7.7165e-15,1.92414e-14,9.759739999999999e-15,-999.0,8.979250000000002e-15,7.972029999999999e-15,-999.0,2.7114499999999998e-14,1.7191900000000005e-14,-999.0,6247892,-4.1052905866357605,0.32196160339539265,24.10968780517578,0.13868457078933716,0.00026355573209002614,2.3498756885528564,0
47,128,-4.095529166666721,0.2890883333333333,3.35e+20,0.8,-999/-999,7565.2,2.53803e-14,8.418e-15,1.15377e-14,7.6527e-15,-999.0,1.61548e-14,1.07151e-14,-999.0,4.87878e-14,2.28165e-14,-999.0,6243164,-4.0959011816880775,0.2881788700239155,23.45136260986328,0.09295686334371567,0.013686171732842922,3.5418081283569336,0
48,129,-4.053458333333366,0.2605222222222222,3.35e+20,0.8,-999/-999,7536.0,1.9964700000000004e-14,7.7165e-15,7.26241e-15,6.2088900000000006e-15,-999.0,2.0333700000000006e-14,1.25581e-14,-999.0,3.07006e-14,1.89607e-14,-999.0,6239847,-4.0523164806205045,0.25962846796682953,23.75150489807129,0.09828891605138779,0.09437137097120285,2.3888559341430664,0
49,130,-3.9884666666666817,0.2916255555555555,3.35e+20,0.8,-999/-999,7604.6,1.9642e-14,7.5762e-15,1.78563e-14,9.71383e-15,-999.0,1.25045e-14,9.643590000000001e-15,-999.0,1.88798e-14,1.45603e-14,-999.0,6244150,-3.9885281864076774,0.29160768284409966,18.90463638305664,0.003174429526552558,0.028625277802348137,6.475870132446289,2
50,131,-4.069475000000068,0.2527402777777778,3.35e+20,0.8,-999/-999,7456.0,4.42226e-14,1.08031e-14,2.67844e-14,1.11908e-14,-999.0,3.7502800000000005e-14,1.5669e-14,-999.0,5.662330000000002e-14,2.36578e-14,-999.0,6239012,-4.069666914247421,0.2521460834616733,25.33955192565918,0.16233113408088684,0.6613356471061707,1.38514244556427,0
51,134,-4.138500000000022,0.24161444444444444,3.35e+20,0.8,-999/-999,7249.8,2.29531e-14,8.418e-15,6.95886e-15,6.18338e-15,-999.0,3.89672e-14,1.75335e-14,-999.0,1.47113e-14,1.30719e-14,-999.0,6237738,-4.1385286470730875,0.2406633548921941,24.633132934570312,0.16056756675243378,0.6958776712417603,1.5754170417785645,0
52,135,-4.031662500000095,0.17941972222222222,3.34e+20,0.8,-999/-999,7583.7,3.84005e-14,1.0799200000000001e-14,3.75723e-14,1.40195e-14,-999.0,2.2563499999999998e-14,1.35531e-14,-999.0,3.4071100000000004e-14,2.04653e-14,-999.0,6231536,-4.031081893710791,0.1798368383121487,18.305423736572266,0.0025184049736708403,0.028628051280975342,6.795759677886963,0
53,523,40.76233333333335,0.7744283333333334,3.19e+20,1.125,+0.08/-0.07,15380.3,2.94941e-13,1.2440399999999999e-14,3.40054e-13,2.00978e-14,-999.0,3.505260000000001e-13,2.4159299999999998e-14,-999.0,2.7673e-13,2.54005e-14,-999.0,14867714,40.76223111804132,0.7742622880982774,18.410932540893555,0.002211793093010783,0.10199885815382004,4.138713836669922,2
54,627,40.75256666666667,0.7001661111111109,3.18e+20,0.8,-999/-999,10183.5,4.53236e-14,6.695999999999999e-15,5.84405e-14,1.03133e-14,-999.0,1.65393e-14,6.3875799999999996e-15,-999.0,2.50156e-14,9.66121e-15,-999.0,14861721,40.753330992475554,0.7000213608609213,22.98534393310547,0.08873747289180756,0.04999060183763504,3.579838514328003,3
55,628,40.90956249999999,0.7429163888888889,3.33e+20,1.208,+0.21/-0.17,10516.5,5.959460000000002e-14,5.9421999999999994e-15,9.32186e-14,1.25987e-14,-999.0,5.83797e-14,1.1135500000000001e-14,-999.0,5.4043399999999996e-14,1.25687e-14,-999.0,14865252,40.91028176578134,0.7426809257445887,18.682283401489258,0.001570134307257831,0.9820145964622498,2.659351348876953,0
56,635,40.9825625,0.7155358333333333,3.34e+20,0.508,+0.10/-0.09,5138.5,3.1746799999999997e-13,2.08632e-14,9.68451e-14,-2.86285e-11,3.19952e-13,3.70374e-13,3.22963e-14,-999.0,4.70297e-13,4.7586e-14,-999.0,14863020,40.98198076603346,0.7158649160273711,21.764867782592773,0.030895601958036423,0.035759132355451584,3.7981998920440674,3
